This transcript
transcript has
has been
been automatically
automatically generated
generated and
and may
may not
not be
be 100%
100% accurate.
house, I
I day
day say.
say. Here
Here we
we go.
go. Cody
Cody will
will perform
perform "Flower."
"Flower." ?
? ?
? ?
? ?
? ?
? oh
oh baby
baby ?
? ?
? I
I know
know I'll
I'll never
never be
be the
the apple
apple of
of your
your eye
eye but
but I
I pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? I
I know
know I'll
I'll never
never be
be the
the stars
stars up
up in
in your
your sky
sky but
but I'll
I'll pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? yeah
yeah she
she loves
loves me
me she
she loves
loves me
me not
not she
she says
says she
she love
love me
me has
has she
she forgotten
forgotten that
that she
she loves
loves me
me ?
? ?
? love
love me
me one
one more
more time
time I
I know
know I'll
I'll never
never be
be the
the apple
apple of
of your
your eye
eye ?
? ?
? but
but I
I can
can pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? 'cause
'cause I
I meet
meet you
you down
down by
by the
the end
end of
of the
the road
road where
where the
the sunset
sunset glows
glows and
and the
the garden
garden grows
grows ?
? ?
? one
one pair
pair of
of shoes
shoes with
with 20
20 holes
holes in
in the
the toes
toes ?
? ?
? and
and I
I would
would walk
walk 20
20 miles
miles just
just to
to get
get to
to those
those blue
blue eyes
eyes ?
? ?
? if
if you
you would
would smile
smile for
for me
me to
to my
my surprise
surprise I
I would
would stay
stay for
for awhile
awhile to
to see
see what
what comes
comes next
next ?
? ?
? or
or we
we could
could take
take off
off our
our clothes
clothes and
and have
have long
long conversations
conversations in
in French
French ?
? ?
? uh-huh
uh-huh oh
oh baby
baby ?
? ?
? I
I know
know I'll
I'll never
never be
be the
the apple
apple of
of your
your eye
eye but
but I'll
I'll pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? oh
oh ?
? ?
? I
I know
know I'll
I'll never
never be
be the
the stars
stars up
up in
in your
your sky
sky but
but I'll
I'll pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? and
and she
she loves
loves me
me she
she loves
loves me
me not
not she
she says
says she
she loves
loves me
me has
has she
she forgotten
forgotten that
that she
she loves
loves me
me ?
? ?
? love
love me
me one
one more
more time
time I
I know
know I'll
I'll never
never be
be the
the apple
apple of
of your
your eye
eye but
but I'll
I'll pick
pick you
you a
a flower
flower if
if you
you like
like ?
? ?
? and
and I
I said
said roses
roses are
are red
red violets
violets are
are blue
blue ?
? ?
? I
I need
need it
it if
if I
I don't
don't have
have you
you chill
chill up
up on
on the
the hill
hill picking
picking daffodils
daffodils making
making wishes
wishes ?
? ?
? only
only for
for you
you Mrs.
Mrs. Because
Because I
I know
know I'll
I'll never
never be
be the
the apple
apple of
of your
your eye
eye but
but I'll
I'll pick
pick you
you a
a flower
flower ?
