In this
this modern
modern times
times when
when everything
everything is
is convenient,
convenient, asking
asking questions
questions seems
seems to
to be
be very
very easy.
easy. However,
However, whatever
whatever message
message we
we want
want to
to say
say or
or tell,
tell, we
we must
must always
always bear
bear in
in mind
mind that
that our
our words
words can
can change
change how
how the
the other
other thinks
thinks and
and feels.
feels. It
It is
is our
our responsibility
responsibility to
to be
be sensitive
sensitive and
and be
be adaptive
adaptive on
on situations,
situations, involving
involving people
people and
and issues.
issues. No
No one
one is
is perfect.
perfect. No
No one
one expects
expects one
one to
to be
be perfect
perfect in
in communication.
communication. However,
However, one
one can
can always
always try
try and
and if
if a
a mistake
mistake has
has been
been committed,
committed, a
a straightforward
straightforward clarification
clarification is
is enough
enough to
to reassure
reassure the
the other
other that
that questions
questions made
made mean
mean nothing
nothing but
but simple
simple and
and plain.
