PAID FOR
FOR BY
BY BOLTON
BOLTON PAC
PAC Not
Not authorized
authorized by
by any
any candidate
candidate or
or candidate's
candidate's committee
committee www.boltonpac.com
as the
the U.S.
U.S. Permanent
Permanent Representative
Representative to
to the
the United
United Nations
Nations in
in 2005-2006.
2005-2006. He
He was
was Under
Under Secretary
Secretary of
of State
State for
for Arms
Arms Control
Control and
and International
International Security
Security from
from 2001
2001 to
to 2005.
2005. In
In the
the Reagan
Reagan Administration,
Administration, he
he was
was an
an Assistant
Assistant Attorney
Attorney General.
