Greg Sterling
Sterling is
is a
a Contributing
Contributing Editor
Editor at
at Search
Search Engine
Engine Land.
Land. He
He writes
writes a
a personal
personal blog,
blog, Screenwerk,
Screenwerk, about
about connecting
connecting the
the dots
dots between
between digital
digital media
media and
and real-world
real-world consumer
consumer behavior.
behavior. He
He is
is also
also VP
VP of
of Strategy
Strategy and
and Insights
Insights for
for the
the Local
Local Search
Search Association.
Association. Follow
Follow him
him on
on Twitter
Twitter or
or find
find him
him at
at Google+.
