Oh what
what a
a shock
shock -
- and
and more
more states
states legalizing
legalizing marijuana
marijuana is
is only
only going
going to
to increase
increase accidents,
accidents, deaths
deaths just
just like
like those
those driving
driving under
under the
the influence
influence of
of alcohol.
alcohol. There
There are
are always
always abusers
abusers about.
about. Drive
Drive defensively
defensively and
and be
be alert
alert always
always and
and hopefully
hopefully you
you can
can distance
distance yourselves
yourselves from
from them
them and
and stay
stay safe.
✿.......... www.HomeJobs247.Com
