DescriptionAndroid is
is a
a software
software platform
platform for
for mobile
mobile devices
devices based
based on
on the
the Linux
Linux operating
operating system
system and
and developed
developed by
by Google
Google and
and the
the Open
Open Handset
Handset Alliance.
Alliance. It
It allows
allows developers
developers to
to write
write managed
managed code
code in
in Java
Java that
that utilizes
utilizes Google-developed
Google-developed software
software libraries,
libraries, but
but does
does not
not support
support programs
programs developed
developed in
in native
native code.
code. The
The unveiling
unveiling of
of the
the Android
Android platform
platform on
on 5
5 November
November 2007
2007 was
was announced
announced with
with the
the founding
founding of
of the
the Open
Open …
