One detail
detail that
that has
has us
us scratching
scratching our
our head
head a
a little
little is
is the
the phone’s
phone’s SoC.
SoC. It’s
It’s not
not explicitly
explicitly named
named here,
here, but
but Sony’s
Sony’s spec
spec pages
pages identify
identify the
the GPU
GPU as
as an
an Adreno
Adreno 330
330 –
– which
which last
last time
time we
we checked,
checked, was
was only
only in
in Snapdragon
Snapdragon 800-series
800-series models.
models. We
We had
had previously
previously heard
heard that
that the
the E4
E4 could
could run
run a
a MediaTek
MediaTek MT6582,
MT6582, and
and while
while that
that would
would make
make sense
sense with
with the
the 1.3GHz
1.3GHz clock
clock speed
speed given
given here,
here, that
that SoC
SoC uses
uses a
a different
different GPU.
GPU. We’re
We’re reaching
reaching out
out to
to Sony
Sony for
for clarification.
clarification. Update:
Update: No
No word
word from
from Sony
Sony just
just yet,
yet, but
but a
a white
white paper
paper for
for the
the E4
E4 identifies
identifies the
the SoC
SoC as
as a
a MediTek
MediTek MT6582
MT6582 with
with Mali-400
Mali-400 MP2
MP2 GPU
GPU –
– we’re
we’re assuming
assuming mention
mention of
of the
the Adreno
Adreno 330
330 was
was in
in error.
error. Update
Update 2:
2: Sony’s
Sony’s confirmed
confirmed with
with us
us that
that the
the Adreno
Adreno stuff
stuff (as
(as well
well as
as a
a stray
stray mention
mention of
of Lollipop)
Lollipop) was
was a
a mistake
mistake –
– the
the E4
E4 runs
runs a
a MediaTek
MediaTek SoC
SoC and
and ships
ships with
with KitKat.
