After its
its own
own debacle
debacle in
in AP
AP the
the congress
congress which
which could
could not
not bag
bag a
a single
single MP
MP or
or MLA
MLA seat
seat in
in 2014
2014 polls
polls is
is now
now pitching
pitching a
a battle
battle against
against both
both Modi
Modi and
and Chandrababu
Chandrababu Naidu
Naidu governments
governments for
for failure
failure in
in special
special status
status to
to AP
AP and
and special
special package
package to
to North
North coastal
coastal andhra
andhra and
and Rayalaseema
Rayalaseema as
as mentioned
mentioned in
in parliament
parliament when
when the
the Telangana
Telangana bill
bill was
was passed
passed .
. '
' The
The BJP
BJP is
is now
now shedding
shedding crocodile
crocodile tears
tears now
now after
after all
all it
it is
is a
a major
major partner
partner in
in dividing
dividing the
the state
state against
against the
the wishes
wishes of
of the
the people
people of
of AP'
AP' avers
avers Raghuveera
Raghuveera Reddy.
