actually this
this silly
silly tactic
tactic may
may work
work if
if trps
trps start
start dropping.
dropping. then
then channel
channel owners
owners will
will be
be forced
forced to
to stop
stop calling
calling mqm
mqm reps
reps or
or call
call them
them only
only for
for short
short period.
period. basically
basically the
the air
air time
time given
given to
to altaf
altaf mafia
mafia will
will drop
drop -
- at
at least
least that
that seems
seems to
to be
be the
the theory
theory behind
behind this.
