You should
should *absolutely*
*absolutely* take
take a
a mental
mental health
health day!
day! Whether
Whether you’re
you’re supposed
supposed to
to be
be at
at work,
work, school,
school, or
or another
another kind
kind of
of obligatory
obligatory commitment,
commitment, you
you totally
totally deserve
deserve to
to have
have a
a whole
whole day
day to
to yourself
yourself and
and do
do whatever
whatever it
it is
is you
you wish.
wish. Spend
Spend it
it at
at the
the movies,
movies, spend
spend it
it reading
reading your
your favorite
favorite book,
book, or
or you
you could
could even
even spend
spend hanging
hanging out
out in
in bed
bed all
all day.
day. Everyone
Everyone needs
needs time
time to
to themselves
themselves every
every once
once in
in a
a while
while —
— it’s
it’s important
important to
to take
take care
care of
of yourself,
yourself, clear
clear your
your mind,
mind, and
and recharge
recharge your
your batteries.
batteries. TREAT
TREAT YOURSELF
YOURSELF and
and enjoy
enjoy the
the day
day :)
