Wow. She
She calls
calls it
it a
a curse,
curse, there
there are
are thousands
thousands of
of people
people who
who would
would give
give all
all their
their limbsfor
limbsfor that
that ‘curse’
‘curse’ to
to be
be thrown
thrown upon
upon them.
ng to
to let
let that
that happen
happen with
with my
my offspring.
offspring. The
The chances
chances were
were greater
greater that
that it
it would
would with
with a
a male,
male, it
it was
was unacceptable.
unacceptable. If
If the
the curse
curse returns,
returns, I
I would
would do
do the
the exact
exact same
same thing
thing all
all over
over again.�?
