It should
should be
be noted
noted that
that recently,
recently, U.S.
U.S. senators
senators are
are more
more and
and more
more inclined
inclined to
to believe
believe that
that Ukraine
Ukraine must
must be
be provided
provided with
with lethal
lethal weapons.
weapons. According
According to
to the
the Senate
Senate member
member John
John McCain,
McCain, if
if Moscow
Moscow did
did not
not stop,
stop, it
it would
would challenge
challenge the
the security
security of
of NATO.
NATO. That
That is
is why
why the
the United
United States
States and
and NATO
NATO allies
allies must
must provide
provide Ukraine
Ukraine with
with defense
defense lethal
lethal weapons.
