Since it
it began
began its
its work
work at
at Great
Great Ormond
Ormond Street
Street Hospital,
Hospital, the
the Teapot
Teapot Trust
Trust appears
appears to
to have
have had
had a
a positive
positive impact
impact on
on the
the lives
lives of
of many
many of
of the
the children
children on
on this
this ward
ward who
who have
have taken
taken part
part in
in the
the therapy.
t Ormond
Ormond Street
Street Hospital,
Hospital, London
London -
- the
the first
first time
time that
that the
the charity
charity has
has worked
worked outside
outside of
of Scotland.
