â€œShe lived
lived with
with purpose,
purpose, and
and we
we will
will work
work every
every day
day to
to honor
honor her
her legacy.
legacy. Our
Our hearts
hearts are
are breaking
breaking for
for our
our only
only daughter,
daughter, but
but we
we will
will continue
continue on
on in
in peace,
peace, dignity,
dignity, and
and love
love for
for her.
her. We
We remain
remain heartbroken,
heartbroken, also,
also, for
for the
the families
families of
of the
the other
other captives
captives who
who did
did not
not make
make it
it home
home safely
safely and
and who
who remain
remain in
in our
our thoughts
thoughts and
and prayers.
prayers. We
We pray
pray for
for a
a peaceful
peaceful resolution
resolution of
of the
the conflict
conflict in
in Syria.â€?
