Trust me.
me. I'm
I'm Hispanic.
Hispanic. Frontpage
Frontpage Edit:
Edit: I
I know,
know, I
I know.
know. These
These edits
edits are
are lame,
lame, but
but do
do you
you mean
mean to
to tell
tell me
me that
that I
I have
have posted
posted copious
copious amounts
amounts of
of OC
OC that
that got
got downvoted
downvoted into
into oblivion
oblivion and
and the
the one
one time
time I
I post
post a
a freakin
freakin 9GAG
9GAG repost
repost I
I make
make front
front page?
page? That's
That's right,
right, 9Gag.
9Gag. Either
Either way,
way, whoo,
whoo, front
front page!
