Public regional
regional broadcasters
broadcasters in
in Spain
Spain have
have also
also been
been struggling
struggling in
in recent
recent years
years due
due to
to dwindling
dwindling budgets
budgets and
and falling
falling audiences,
audiences, who
who often
often view
view these
these stations
stations as
as controlled
controlled by
by the
the party
party in
in government.
government. In
In late
late 2013,
2013, the
the Valencian
Valencian station
station Canal
Canal Nou
Nou completely
completely shut
shut down.
confrontation with
with the
the secretary
secretary general
general of
of the
the ruling
ruling Popular
Popular Party
Party (PP),
(PP), María
María Dolores
Dolores de
de Cospedal.
