Promotes and
and enhances
enhances the
the original
original hair
hair color
color by
by preventing
preventing the
the molecular
molecular structure
structure in
in the
the hair
hair from
from prematurely
prematurely loosing
loosing life.
life. Barley
Barley Grass
Grass thickens
thickens the
the hair
hair as
as well
well as
as providing
providing exterior
exterior nutrients
nutrients forming
forming a
a shield
shield of
of protection
protection that
that can
can force
force the
the gray
gray to
to eliminate
eliminate itself.
